movieId,title,tmdbId
1,Toy Story (1995),862.0
2,GoldenEye (1995),710.0
3,Four Rooms (1995),5.0
4,Get Shorty (1995),8012.0
5,Copycat (1995),1710.0
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),37557.0
7,Twelve Monkeys (1995),63.0
8,Babe (1995),9598.0
9,Dead Man Walking (1995),687.0
10,Richard III (1995),31174.0
11,Seven (Se7en) (1995),807.0
12,"Usual Suspects, The (1995)",629.0
13,Mighty Aphrodite (1995),11448.0
14,"Postino, Il (1994)",11010.0
15,Mr. Holland's Opus (1995),2054.0
16,French Twist (Gazon maudit) (1995),4482.0
17,From Dusk Till Dawn (1996),755.0
18,"White Balloon, The (1995)",46785.0
19,Antonia's Line (1995),880.0
20,Angels and Insects (1995),8447.0
21,Muppet Treasure Island (1996),10874.0
22,Braveheart (1995),197.0
23,Taxi Driver (1976),103.0
24,Rumble in the Bronx (1995),33542.0
25,"Birdcage, The (1996)",11000.0
26,"Brothers McMullen, The (1995)",16388.0
27,Bad Boys (1995),9737.0
28,Apollo 13 (1995),568.0
29,Batman Forever (1995),414.0
30,Belle de jour (1967),649.0
31,Crimson Tide (1995),8963.0
32,Crumb (1994),26564.0
33,Desperado (1995),8068.0
34,"Doom Generation, The (1995)",13552.0
35,Free Willy 2: The Adventure Home (1995),9073.0
36,Mad Love (1995),47608.0
37,Nadja (1994),34574.0
38,"Net, The (1995)",1642.0
39,Strange Days (1995),281.0
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",9090.0
41,Billy Madison (1995),11017.0
42,Clerks (1994),2292.0
43,Disclosure (1994),8984.0
44,Dolores Claiborne (1994),11929.0
45,Eat Drink Man Woman (1994),10451.0
46,Exotica (1994),20156.0
47,Ed Wood (1994),522.0
48,Hoop Dreams (1994),14275.0
49,I.Q. (1994),11777.0
50,Star Wars (1977),11.0
51,Legends of the Fall (1994),4476.0
52,"Madness of King George, The (1994)",11318.0
53,Natural Born Killers (1994),241.0
54,Outbreak (1995),6950.0
55,"Professional, The (1994)",101.0
56,Pulp Fiction (1994),680.0
57,Priest (1994),40156.0
58,Quiz Show (1994),11450.0
59,Three Colors: Red (1994),110.0
60,Three Colors: Blue (1993),108.0
61,Three Colors: White (1994),109.0
62,Stargate (1994),2164.0
63,"Santa Clause, The (1994)",11395.0
64,"Shawshank Redemption, The (1994)",278.0
65,What's Eating Gilbert Grape (1993),1587.0
66,While You Were Sleeping (1995),2064.0
67,Ace Ventura: Pet Detective (1994),3049.0
68,"Crow, The (1994)",9495.0
69,Forrest Gump (1994),13.0
